epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,288.946,1.08571,0.93127,1.17465,0.95621,0.9575,0.95941,0.71236,0.97893,0.69597,1.13491,0.00114853,0.00114853,0.00114853
43,295.275,1.08146,0.97958,1.23396,0.95621,0.9575,0.95941,0.71236,0.97893,0.69597,1.13491,0.00114605,0.00114605,0.00114605
44,301.938,1.0345,0.8735,1.12751,0.95631,0.95789,0.95162,0.67628,1.08768,0.7304,1.19159,0.00114357,0.00114357,0.00114357
45,308.46,1.03115,0.90917,1.12589,0.9512,0.95904,0.94579,0.66639,1.09235,0.73792,1.1989,0.0011411,0.0011411,0.0011411
46,314.999,1.04533,0.90089,1.1188,0.9579,0.95789,0.95019,0.68831,0.98989,0.6979,1.14687,0.00113863,0.00113863,0.00113863
47,321.383,1.02315,0.83508,1.13837,0.95793,0.95789,0.94922,0.69911,0.99462,0.68394,1.13181,0.00113615,0.00113615,0.00113615
48,328.045,1.0417,0.83694,1.15515,0.95793,0.95789,0.94922,0.69911,0.99462,0.68394,1.13181,0.00113368,0.00113368,0.00113368
49,334.385,1.02392,0.81133,1.12125,0.95838,0.95789,0.95061,0.70477,0.97488,0.67489,1.10358,0.0011312,0.0011312,0.0011312
50,341.033,1.08788,0.86265,1.14976,0.95879,0.95789,0.95408,0.70442,0.96589,0.67801,1.10439,0.00112873,0.00112873,0.00112873
51,348.054,1.06458,0.90871,1.15453,0.95894,0.95789,0.95614,0.70842,0.99564,0.67972,1.1123,0.00112625,0.00112625,0.00112625
52,354.837,1.03163,0.87437,1.13837,0.95894,0.95789,0.95614,0.70842,0.99564,0.67972,1.1123,0.00112378,0.00112378,0.00112378
53,361.128,1.0034,0.8045,1.11703,0.95543,0.95789,0.95836,0.70038,0.99376,0.67087,1.12002,0.0011213,0.0011213,0.0011213
54,367.495,1.12182,0.95596,1.15048,0.95534,0.95789,0.95939,0.69139,1.01933,0.65858,1.13137,0.00111882,0.00111882,0.00111882
55,373.817,1.02677,0.84048,1.13093,0.95723,0.95789,0.95743,0.70968,0.98406,0.64402,1.13544,0.00111635,0.00111635,0.00111635
56,380.385,1.05193,0.9231,1.17636,0.95723,0.95789,0.95743,0.70968,0.98406,0.64402,1.13544,0.00111388,0.00111388,0.00111388
57,386.863,1.09764,0.85805,1.14895,0.95999,0.95642,0.95402,0.70532,1.00084,0.65614,1.14063,0.0011114,0.0011114,0.0011114
58,393.434,1.02498,0.80069,1.13093,0.95345,0.95789,0.95829,0.70318,1.00321,0.66757,1.14444,0.00110892,0.00110892,0.00110892
59,399.606,0.99767,0.86215,1.14782,0.95427,0.95789,0.95322,0.6843,1.0474,0.66342,1.16679,0.00110645,0.00110645,0.00110645
60,406.048,0.98693,0.81066,1.12574,0.95363,0.95789,0.9541,0.69769,1.01151,0.64559,1.13901,0.00110397,0.00110397,0.00110397
61,412.759,0.98555,0.79071,1.12057,0.95363,0.95789,0.9541,0.69769,1.01151,0.64559,1.13901,0.0011015,0.0011015,0.0011015
62,419.374,1.01835,0.80708,1.11107,0.95265,0.95731,0.96059,0.71501,0.97383,0.62797,1.12386,0.00109903,0.00109903,0.00109903
63,425.782,1.02576,0.8518,1.13668,0.95402,0.95828,0.96757,0.72277,0.9449,0.61028,1.11793,0.00109655,0.00109655,0.00109655
64,432.007,0.99912,0.81214,1.14076,0.97252,0.94703,0.96847,0.69519,1.00371,0.60838,1.16299,0.00109408,0.00109408,0.00109408
65,438.375,1.03637,0.83835,1.14613,0.97252,0.94703,0.96847,0.69519,1.00371,0.60838,1.16299,0.0010916,0.0010916,0.0010916
66,444.644,1.05354,0.82012,1.17666,0.96935,0.94814,0.97474,0.70008,0.995,0.62468,1.15288,0.00108913,0.00108913,0.00108913
67,451.191,1.02178,0.77572,1.11953,0.95151,0.96447,0.97087,0.71626,0.94859,0.6123,1.11058,0.00108665,0.00108665,0.00108665
68,457.461,1.05799,0.8814,1.15981,0.95705,0.95799,0.96811,0.70862,1.00377,0.60806,1.13046,0.00108417,0.00108417,0.00108417
69,464.286,1.00882,0.75747,1.13423,0.95705,0.95799,0.96811,0.70862,1.00377,0.60806,1.13046,0.0010817,0.0010817,0.0010817
70,471.062,1.03627,0.7712,1.13739,0.95883,0.95818,0.9722,0.72292,0.94541,0.59261,1.10821,0.00107923,0.00107923,0.00107923
71,477.54,1.00457,0.78213,1.13236,0.96195,0.95539,0.97788,0.70801,1.00157,0.58163,1.12908,0.00107675,0.00107675,0.00107675
72,484.81,1.02165,0.80613,1.15154,0.96446,0.95902,0.98194,0.73508,0.95111,0.55392,1.10561,0.00107427,0.00107427,0.00107427
73,491.107,1.01263,0.78675,1.12476,0.96947,0.95599,0.98356,0.7528,0.9081,0.55008,1.0982,0.0010718,0.0010718,0.0010718
74,497.676,0.99195,0.82552,1.13315,0.96947,0.95599,0.98356,0.7528,0.9081,0.55008,1.0982,0.00106933,0.00106933,0.00106933
75,504.055,0.98101,0.78365,1.12028,0.95983,0.96072,0.98348,0.74977,0.91363,0.55474,1.09487,0.00106685,0.00106685,0.00106685
76,510.407,0.98576,0.78014,1.14543,0.96996,0.95633,0.98366,0.74959,0.92394,0.56645,1.09197,0.00106437,0.00106437,0.00106437
77,516.808,0.97997,0.73374,1.11112,0.96713,0.96248,0.98621,0.74202,0.9015,0.56046,1.07843,0.0010619,0.0010619,0.0010619
78,522.536,0.95287,0.71296,1.09206,0.96713,0.96248,0.98621,0.74202,0.9015,0.56046,1.07843,0.00105942,0.00105942,0.00105942
79,528.78,0.94487,0.71942,1.07899,0.9344,0.96789,0.96977,0.73037,0.89356,0.58719,1.08259,0.00105695,0.00105695,0.00105695
80,535.059,0.98381,0.79102,1.15488,0.95247,0.96642,0.97344,0.72881,0.93292,0.58138,1.09846,0.00105448,0.00105448,0.00105448
81,541.32,0.95491,0.77224,1.09848,0.97519,0.95773,0.97861,0.74008,0.91275,0.58853,1.07469,0.001052,0.001052,0.001052
82,547.022,1.00862,0.75586,1.12976,0.97519,0.95773,0.97861,0.74008,0.91275,0.58853,1.07469,0.00104952,0.00104952,0.00104952
83,553.17,1.01184,0.80092,1.11318,0.96054,0.96589,0.98506,0.7502,0.89796,0.59638,1.06584,0.00104705,0.00104705,0.00104705
84,559.434,0.98476,0.73754,1.11676,0.97834,0.95755,0.98664,0.74836,0.89684,0.56502,1.08253,0.00104458,0.00104458,0.00104458
85,565.713,0.95603,0.73776,1.10533,0.98309,0.95743,0.98476,0.72623,0.96546,0.5537,1.13221,0.0010421,0.0010421,0.0010421
86,571.595,1.0148,0.77716,1.17099,0.97022,0.96236,0.98301,0.72959,0.95099,0.56749,1.12622,0.00103962,0.00103962,0.00103962
87,577.593,0.95429,0.76947,1.10598,0.97022,0.96236,0.98301,0.72959,0.95099,0.56749,1.12622,0.00103715,0.00103715,0.00103715
88,583.516,0.92827,0.71209,1.07619,0.93421,0.94623,0.9757,0.74248,0.89316,0.70352,1.08661,0.00103468,0.00103468,0.00103468
89,589.46,0.96731,0.749,1.12733,0.90693,0.91359,0.9431,0.71392,0.90301,0.79459,1.08479,0.0010322,0.0010322,0.0010322
90,595.296,0.97522,0.7773,1.10275,0.95207,0.94842,0.97192,0.73705,0.90927,0.61956,1.08866,0.00102972,0.00102972,0.00102972
91,601.044,0.95023,0.74291,1.07078,0.95207,0.94842,0.97192,0.73705,0.90927,0.61956,1.08866,0.00102725,0.00102725,0.00102725
92,607.087,0.9536,0.70199,1.07747,0.94407,0.96441,0.97289,0.73818,0.90829,0.598,1.10354,0.00102478,0.00102478,0.00102478
93,612.952,0.94117,0.72987,1.11128,0.96131,0.96376,0.97943,0.74662,0.88827,0.57058,1.09824,0.0010223,0.0010223,0.0010223
94,619.594,0.987,0.73357,1.15209,0.95373,0.96741,0.98201,0.73608,0.95006,0.58157,1.09954,0.00101983,0.00101983,0.00101983
95,625.957,1.03111,0.78502,1.12884,0.95373,0.96741,0.98201,0.73608,0.95006,0.58157,1.09954,0.00101735,0.00101735,0.00101735
96,632.008,0.98293,0.78891,1.09672,0.95473,0.96397,0.98027,0.73969,0.94179,0.59608,1.08504,0.00101488,0.00101488,0.00101488
97,638.19,0.96413,0.7134,1.0802,0.96722,0.96298,0.98507,0.74408,0.90763,0.57898,1.08691,0.0010124,0.0010124,0.0010124
98,644.263,0.97331,0.76285,1.11699,0.96445,0.96627,0.9828,0.74644,0.90212,0.56614,1.09145,0.00100993,0.00100993,0.00100993
99,650.167,1.03191,0.82129,1.14608,0.94485,0.94697,0.97267,0.73369,0.91623,0.5947,1.09453,0.00100745,0.00100745,0.00100745
100,656.348,0.92242,0.67442,1.08778,0.94485,0.94697,0.97267,0.73369,0.91623,0.5947,1.09453,0.00100497,0.00100497,0.00100497
101,662.049,0.9362,0.68134,1.08424,0.93487,0.94613,0.96054,0.72125,0.89911,0.62159,1.09102,0.0010025,0.0010025,0.0010025
102,667.911,0.99368,0.80051,1.15069,0.94779,0.95356,0.96194,0.70635,0.94618,0.63727,1.11968,0.00100003,0.00100003,0.00100003
103,674.239,0.97804,0.75179,1.10753,0.96843,0.9603,0.9836,0.74486,0.91753,0.56108,1.09334,0.00099755,0.00099755,0.00099755
104,680.076,0.9901,0.79684,1.12567,0.96843,0.9603,0.9836,0.74486,0.91753,0.56108,1.09334,0.000995075,0.000995075,0.000995075
105,686.521,1.01259,0.75528,1.14107,0.97043,0.96206,0.97979,0.74532,0.91694,0.52407,1.07878,0.0009926,0.0009926,0.0009926
106,692.787,0.95244,0.78372,1.14386,0.9652,0.96008,0.97827,0.74462,0.87859,0.52502,1.06975,0.000990125,0.000990125,0.000990125
107,699.448,1.01021,0.73722,1.13378,0.93101,0.93309,0.94947,0.72512,0.8596,0.60503,1.06221,0.00098765,0.00098765,0.00098765
108,705.297,0.94054,0.67502,1.08758,0.93101,0.93309,0.94947,0.72512,0.8596,0.60503,1.06221,0.000985175,0.000985175,0.000985175
109,711.368,0.95153,0.69238,1.14178,0.93053,0.94476,0.9442,0.72991,0.84165,0.60322,1.05832,0.0009827,0.0009827,0.0009827
110,717.537,0.93437,0.65314,1.05024,0.97873,0.96631,0.98869,0.76903,0.83768,0.52941,1.04197,0.000980225,0.000980225,0.000980225
111,724,0.97518,0.69051,1.11055,0.95855,0.97843,0.98687,0.75366,0.88931,0.5331,1.05906,0.00097775,0.00097775,0.00097775
112,731.137,0.94453,0.67017,1.08639,0.93558,0.97045,0.96371,0.74738,0.84365,0.54247,1.04879,0.000975275,0.000975275,0.000975275
113,737.718,0.94068,0.73013,1.09205,0.93558,0.97045,0.96371,0.74738,0.84365,0.54247,1.04879,0.0009728,0.0009728,0.0009728
114,744.305,0.91165,0.69039,1.07997,0.94,0.95586,0.96432,0.73868,0.87763,0.54033,1.07096,0.000970325,0.000970325,0.000970325
115,751.362,0.93569,0.67762,1.0881,0.97074,0.95455,0.98476,0.74678,0.91,0.51668,1.0824,0.00096785,0.00096785,0.00096785
116,757.462,0.96606,0.70063,1.13053,0.98177,0.95048,0.98626,0.73172,0.96909,0.51969,1.11932,0.000965375,0.000965375,0.000965375
117,763.496,0.91222,0.67486,1.07475,0.98177,0.95048,0.98626,0.73172,0.96909,0.51969,1.11932,0.0009629,0.0009629,0.0009629
118,770.241,0.95774,0.66999,1.09917,0.98224,0.96721,0.98806,0.73741,0.96836,0.50892,1.11241,0.000960425,0.000960425,0.000960425
119,776.4,0.90923,0.59319,1.03924,0.97579,0.97177,0.99024,0.76907,0.86652,0.49168,1.0605,0.00095795,0.00095795,0.00095795
120,782.748,0.93873,0.67945,1.06514,0.97822,0.97069,0.98807,0.78083,0.80626,0.49147,1.04381,0.000955475,0.000955475,0.000955475
121,789.133,0.9637,0.70822,1.12218,0.97822,0.97069,0.98807,0.78083,0.80626,0.49147,1.04381,0.000953,0.000953,0.000953
122,795.255,0.92419,0.67142,1.07671,0.975,0.96303,0.98593,0.76546,0.83649,0.49021,1.05438,0.000950525,0.000950525,0.000950525
123,801.299,0.91667,0.68693,1.08746,0.98278,0.95373,0.98762,0.76703,0.84643,0.4858,1.03821,0.00094805,0.00094805,0.00094805
124,807.311,0.91695,0.65884,1.05273,0.98091,0.9604,0.98892,0.77506,0.8265,0.48463,1.03032,0.000945575,0.000945575,0.000945575
125,814.164,0.90099,0.67184,1.04167,0.97565,0.95789,0.98275,0.73357,0.94743,0.51346,1.08332,0.0009431,0.0009431,0.0009431
126,820.402,0.92385,0.64574,1.08062,0.97565,0.95789,0.98275,0.73357,0.94743,0.51346,1.08332,0.000940625,0.000940625,0.000940625
127,827.003,0.93509,0.62326,1.0722,0.9614,0.97019,0.98403,0.73878,0.95115,0.51478,1.09067,0.00093815,0.00093815,0.00093815
128,833.14,0.90142,0.66496,1.073,0.97454,0.9707,0.98821,0.78395,0.81453,0.4761,1.0309,0.000935675,0.000935675,0.000935675
129,839.463,0.91109,0.65514,1.08243,0.96446,0.98193,0.98706,0.78637,0.80141,0.4867,1.03074,0.0009332,0.0009332,0.0009332
130,845.674,0.86477,0.58239,1.04935,0.96446,0.98193,0.98706,0.78637,0.80141,0.4867,1.03074,0.000930725,0.000930725,0.000930725
131,852.151,0.84999,0.57208,1.04867,0.97369,0.97326,0.98601,0.77707,0.81556,0.49942,1.04616,0.00092825,0.00092825,0.00092825
132,858.51,0.9249,0.6752,1.07756,0.97782,0.97076,0.98726,0.7563,0.88408,0.52751,1.08789,0.000925775,0.000925775,0.000925775
133,864.629,0.92697,0.63618,1.08391,0.96355,0.98634,0.98606,0.76644,0.85433,0.53966,1.06888,0.0009233,0.0009233,0.0009233
134,871.004,0.91815,0.66992,1.1022,0.96355,0.98634,0.98606,0.76644,0.85433,0.53966,1.06888,0.000920825,0.000920825,0.000920825
135,877.974,0.91568,0.6782,1.09259,0.9769,0.9773,0.98924,0.78708,0.78329,0.48571,1.02024,0.00091835,0.00091835,0.00091835
136,885.124,0.90885,0.6439,1.05424,0.98012,0.96989,0.99118,0.76094,0.87815,0.47151,1.05862,0.000915875,0.000915875,0.000915875
137,892.135,0.90289,0.69623,1.09783,0.97696,0.97865,0.99134,0.75768,0.88617,0.46475,1.05783,0.0009134,0.0009134,0.0009134
138,898.585,0.90226,0.66462,1.0931,0.98265,0.98525,0.99333,0.79839,0.76375,0.4438,1.01657,0.000910925,0.000910925,0.000910925
139,905.138,0.8602,0.60808,1.06288,0.98265,0.98525,0.99333,0.79839,0.76375,0.4438,1.01657,0.00090845,0.00090845,0.00090845
140,911.536,0.9021,0.66253,1.07566,0.95065,0.95293,0.98312,0.79186,0.76982,0.51339,1.02831,0.000905975,0.000905975,0.000905975
141,917.865,0.88258,0.67326,1.08179,0.92354,0.9476,0.95828,0.75799,0.77535,0.55579,1.0139,0.0009035,0.0009035,0.0009035
142,924.442,0.83127,0.61382,1.04816,0.97001,0.98875,0.99089,0.76843,0.85995,0.4714,1.04436,0.000901025,0.000901025,0.000901025
